GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC04_EST_VC13,HC04_MOE_VC13,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC04_EST_VC15,HC04_MOE_VC15,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC04_EST_VC18,HC04_MOE_VC18
8600000US11558,11558,ZCTA5 11558,3088,186,2224,138,1585,166,864,198,72292,13798,87321,17393,(X),(X),37400,11476,94824,10639,109482,12579,N,N,51944,11044,34.8,(X),(X),(X),(X),(X),(X),(X)
8600000US11559,11559,ZCTA5 11559,2737,233,2148,187,1903,193,589,167,115252,10777,141026,30578,(X),(X),56821,11511,202563,38947,238232,51905,N,N,68213,15283,46.3,(X),(X),(X),(X),(X),(X),(X)
8600000US11560,11560,ZCTA5 11560,2301,122,1736,139,1401,153,565,120,103594,21891,137770,12873,(X),(X),42250,21979,185719,18839,219843,22540,N,N,78226,23947,42.3,(X),(X),(X),(X),(X),(X),(X)
8600000US11561,11561,ZCTA5 11561,16199,440,8619,345,6301,317,7580,610,89252,5787,106540,8431,127071,7921,67878,6038,112980,5279,136266,8531,N,N,83429,5964,35.5,(X),(X),(X),(X),(X),(X),(X)
8600000US11563,11563,ZCTA5 11563,8238,326,5803,292,4755,293,2435,310,85194,9164,107820,6557,121109,8454,39886,4300,108933,6993,128341,9809,N,N,59657,9940,38.1,(X),(X),(X),(X),(X),(X),(X)
8600000US11565,11565,ZCTA5 11565,3191,157,2382,145,1838,186,809,176,110110,12408,120938,17009,131402,14010,59554,21563,126793,9631,140707,12673,N,N,84661,15930,40,(X),(X),(X),(X),(X),(X),(X)
8600000US11566,11566,ZCTA5 11566,10981,218,9488,242,8036,298,1493,189,125992,7216,138968,7008,(X),(X),48477,7698,150799,7398,162425,7773,N,N,69725,10679,41.8,(X),(X),(X),(X),(X),(X),(X)
8600000US11568,11568,ZCTA5 11568,913,73,811,60,701,71,102,51,172750,32171,199844,40073,(X),(X),44900,41866,335450,44949,354002,49738,N,N,161797,132075,56.3,(X),(X),(X),(X),(X),(X),(X)
8600000US11569,11569,ZCTA5 11569,536,109,388,105,307,98,148,74,110398,13632,126429,41515,149028,55849,(X),(X),139466,24742,162666,30066,N,N,78645,20976,41.8,(X),(X),(X),(X),(X),(X),(X)
8600000US11570,11570,ZCTA5 11570,9945,293,6970,194,5529,252,2975,286,107442,6705,136164,11354,161113,12774,46895,7652,143135,8674,173182,12045,N,N,64809,8247,40.8,(X),(X),(X),(X),(X),(X),(X)
8600000US11572,11572,ZCTA5 11572,10219,205,7862,281,6568,266,2357,267,95750,5520,115021,6587,124268,7675,38267,6962,113474,4644,129331,5225,N,N,57708,8969,43.4,(X),(X),(X),(X),(X),(X),(X)
8600000US11575,11575,ZCTA5 11575,4282,166,3431,228,1951,244,851,159,65890,10331,77773,17263,96406,17479,34861,22213,79235,5923,82444,6514,N,N,45481,10957,59,(X),(X),(X),(X),(X),(X),(X)
8600000US11576,11576,ZCTA5 11576,4501,234,3505,198,3161,196,996,169,152910,15836,172467,19745,(X),(X),54130,12926,211523,13177,244633,16133,N,N,92647,16399,44.3,(X),(X),(X),(X),(X),(X),(X)
8600000US11577,11577,ZCTA5 11577,4114,168,3286,158,2773,179,828,160,116667,10723,136957,14981,(X),(X),61364,19128,162838,11969,184377,15151,N,N,68295,8670,40.8,(X),(X),(X),(X),(X),(X),(X)
8600000US11579,11579,ZCTA5 11579,1954,105,1462,90,1206,111,492,131,110696,6531,132419,21264,(X),(X),43393,19464,147726,16380,170029,19728,N,N,77014,23003,31.6,(X),(X),(X),(X),(X),(X),(X)
8600000US11580,11580,ZCTA5 11580,12728,344,10260,400,7455,412,2468,280,90536,6408,104768,6350,115031,6946,46641,11579,106077,4755,115285,5367,N,N,55998,7257,45.7,(X),(X),(X),(X),(X),(X),(X)
8600000US11581,11581,ZCTA5 11581,6773,158,5504,223,4141,267,1269,173,100787,7215,111583,9785,(X),(X),42443,18426,120373,6965,132585,8634,N,N,59992,8381,35.5,(X),(X),(X),(X),(X),(X),(X)
8600000US11590,11590,ZCTA5 11590,14084,338,10602,328,8000,348,3482,329,89083,4106,102780,5256,117980,5722,36604,6045,111891,3639,123950,4221,N,N,64282,7723,48.7,(X),(X),(X),(X),(X),(X),(X)
8600000US11596,11596,ZCTA5 11596,3553,128,2820,115,2336,142,733,146,110575,9823,129000,9931,(X),(X),53875,8510,138279,7564,154659,8987,N,N,68065,10447,29.8,(X),(X),(X),(X),(X),(X),(X)
8600000US11598,11598,ZCTA5 11598,3764,178,2993,200,2761,213,771,147,129907,12921,154175,12450,(X),(X),56179,10527,175167,14763,194988,16736,N,N,94102,26711,41.4,(X),(X),(X),(X),(X),(X),(X)
8600000US11691,11691,ZCTA5 11691,19607,485,13238,574,7065,513,6369,539,42023,2537,50697,3170,63383,4922,19315,4381,55708,2480,64715,3195,N,N,32698,3706,52.8,(X),(X),(X),(X),(X),(X),(X)
8600000US11692,11692,ZCTA5 11692,6249,323,4580,382,1661,236,1669,268,42127,3230,43502,2890,(X),(X),30272,8120,58512,4959,61840,6145,N,N,44704,7889,42,(X),(X),(X),(X),(X),(X),(X)
8600000US11693,11693,ZCTA5 11693,4512,263,2641,237,1394,206,1871,221,53281,8656,58581,10603,80227,16729,40893,10110,64300,5404,70554,7424,N,N,52843,8141,46.4,(X),(X),(X),(X),(X),(X),(X)
8600000US11694,11694,ZCTA5 11694,7956,308,4902,350,3665,323,3054,355,75094,3928,89974,10304,110945,12084,46078,12320,100077,6403,121592,10426,N,N,63565,9809,39.9,(X),(X),(X),(X),(X),(X),(X)
8600000US11697,11697,ZCTA5 11697,1520,139,998,128,808,118,522,94,93333,21346,126071,29959,(X),(X),50938,13082,109500,11505,126503,12030,N,N,73522,19028,32.4,(X),(X),(X),(X),(X),(X),(X)
