GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,Actual_Mean_Income,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC03_EST_VC16,HC03_MOE_VC16
8600000US11436,11436,ZCTA5 11436,6848,419,3658,288,3190,264,(X),(X),41725,1421,40169,2372,48326,1805,49487,2682,46995,2422
8600000US11451,11451,ZCTA5 11451,0,11,0,11,0,11,(X),(X),-,**,-,**,-,**,-,**,-,**
8600000US11501,11501,ZCTA5 11501,7707,400,4148,330,3559,292,(X),(X),62013,5886,54255,3328,70441,5628,73020,7755,67435,7143
8600000US11507,11507,ZCTA5 11507,2308,236,1316,164,992,131,(X),(X),89167,20037,61310,15288,104896,11382,122365,17589,81721,10978
8600000US11509,11509,ZCTA5 11509,877,128,532,76,345,78,(X),(X),97955,20193,78068,15971,131879,20718,156607,31390,93748,16021
8600000US11510,11510,ZCTA5 11510,12561,642,6405,409,6156,389,(X),(X),61201,4915,55702,3384,67265,2623,71085,4264,63290,2420
8600000US11514,11514,ZCTA5 11514,1781,229,986,154,795,144,(X),(X),75179,10482,65625,5807,83378,11230,93924,19416,70299,8536
8600000US11516,11516,ZCTA5 11516,2511,531,1756,524,755,243,(X),(X),50735,23226,70313,18381,76112,20717,76933,27215,74203,13047
8600000US11518,11518,ZCTA5 11518,4034,394,2416,285,1618,256,(X),(X),67259,8631,54402,7184,84233,8686,94726,13291,68564,9625
8600000US11520,11520,ZCTA5 11520,15056,621,7734,469,7322,525,(X),(X),45562,5189,45056,4470,56121,2592,58817,4115,53272,2718
8600000US11530,11530,ZCTA5 11530,9094,524,5836,356,3258,313,(X),(X),121568,19313,82214,7322,139704,9307,163045,12536,97895,9214
8600000US11542,11542,ZCTA5 11542,9985,661,6163,550,3822,358,(X),(X),48692,7003,44622,5542,71723,5073,78630,7653,60585,4696
8600000US11545,11545,ZCTA5 11545,4345,312,2764,215,1581,212,(X),(X),103929,5843,73682,10236,157405,12017,186608,16267,106350,16684
8600000US11547,11547,ZCTA5 11547,285,126,112,43,173,118,(X),(X),102237,10160,-,**,99254,45544,160553,79645,59569,31566
8600000US11548,11548,ZCTA5 11548,659,270,357,149,302,136,(X),(X),85417,22040,45000,8106,90990,15500,106850,21248,72241,23535
