GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC01_EST_VC35,HC01_MOE_VC35,HC02_EST_VC35,HC02_MOE_VC35,HC03_EST_VC35,HC03_MOE_VC35,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36,HC03_EST_VC36,HC03_MOE_VC36,HC01_EST_VC37,HC01_MOE_VC37,HC02_EST_VC37,HC02_MOE_VC37,HC03_EST_VC37,HC03_MOE_VC37,HC01_EST_VC38,HC01_MOE_VC38,HC02_EST_VC38,HC02_MOE_VC38,HC03_EST_VC38,HC03_MOE_VC38,HC01_EST_VC39,HC01_MOE_VC39,HC02_EST_VC39,HC02_MOE_VC39,HC03_EST_VC39,HC03_MOE_VC39,HC01_EST_VC42,HC01_MOE_VC42,HC02_EST_VC42,HC02_MOE_VC42,HC03_EST_VC42,HC03_MOE_VC42,HC01_EST_VC43,HC01_MOE_VC43,HC02_EST_VC43,HC02_MOE_VC43,HC03_EST_VC43,HC03_MOE_VC43
8600000US12018,12018,ZCTA5 12018,7608,632,3677,338,3931,432,44.2,1.6,41.9,2.7,45.7,3.1,93.5,10.9,(X),(X),(X),(X),60.7,9.3,(X),(X),(X),(X),22.5,5.4,(X),(X),(X),(X),38.2,7.4,(X),(X),(X),(X),0,(X),(X),(X),(X),(X),1.4,(X),(X),(X),(X),(X)
8600000US12019,12019,ZCTA5 12019,14841,687,7336,385,7505,410,43.5,1.6,43.9,2.3,43.3,1.9,97.7,5.3,(X),(X),(X),(X),62.3,5.3,(X),(X),(X),(X),26,3.2,(X),(X),(X),(X),36.2,4.2,(X),(X),(X),(X),0,(X),(X),(X),(X),(X),1.2,(X),(X),(X),(X),(X)
8600000US12020,12020,ZCTA5 12020,31403,751,15376,582,16027,606,39.8,1.2,39.3,1.4,40.5,1.9,95.9,5.6,(X),(X),(X),(X),55,3.3,(X),(X),(X),(X),19.3,2,(X),(X),(X),(X),35.8,2.4,(X),(X),(X),(X),0.1,(X),(X),(X),(X),(X),0.9,(X),(X),(X),(X),(X)
8600000US12022,12022,ZCTA5 12022,1002,154,471,86,531,94,41.8,7.1,31.7,7.6,48.5,3.5,88.7,16.9,(X),(X),(X),(X),78.3,16.3,(X),(X),(X),(X),40.7,12.9,(X),(X),(X),(X),37.5,11.7,(X),(X),(X),(X),0,(X),(X),(X),(X),(X),0,(X),(X),(X),(X),(X)
8600000US12023,12023,ZCTA5 12023,2071,271,1090,168,981,132,48.2,2.4,48.4,3.4,48.1,2.7,111.1,13.9,(X),(X),(X),(X),48.4,12.3,(X),(X),(X),(X),22.4,7.9,(X),(X),(X),(X),25.9,8,(X),(X),(X),(X),0,(X),(X),(X),(X),(X),1.4,(X),(X),(X),(X),(X)
8600000US12024,12024,ZCTA5 12024,102,106,28,22,74,87,42.4,59,-,**,12.7,55.2,37.8,34.9,(X),(X),(X),(X),78.9,111.9,(X),(X),(X),(X),-,**,(X),(X),(X),(X),78.9,111.9,(X),(X),(X),(X),0,(X),(X),(X),(X),(X),0,(X),(X),(X),(X),(X)
8600000US12025,12025,ZCTA5 12025,5464,285,2737,221,2727,183,43.2,2.5,42.2,2.9,44.5,2.8,100.4,10.6,(X),(X),(X),(X),52.2,6.9,(X),(X),(X),(X),24,4.1,(X),(X),(X),(X),28.3,5.9,(X),(X),(X),(X),0.5,(X),(X),(X),(X),(X),0.6,(X),(X),(X),(X),(X)
8600000US12027,12027,ZCTA5 12027,3816,279,1944,172,1872,182,44.9,2.8,45.7,3.4,43.8,2.6,103.8,12,(X),(X),(X),(X),72,9.4,(X),(X),(X),(X),31.2,6.3,(X),(X),(X),(X),40.8,6.9,(X),(X),(X),(X),0,(X),(X),(X),(X),(X),0.5,(X),(X),(X),(X),(X)
8600000US12028,12028,ZCTA5 12028,970,264,548,158,422,121,39.7,5.2,39.2,7.5,40.4,8.4,129.9,24.4,(X),(X),(X),(X),58,19.4,(X),(X),(X),(X),15.8,9.6,(X),(X),(X),(X),42.2,17.5,(X),(X),(X),(X),0,(X),(X),(X),(X),(X),0,(X),(X),(X),(X),(X)
8600000US12029,12029,ZCTA5 12029,1127,169,688,128,439,76,42.4,9.5,23.3,15.3,48.5,6.3,156.7,33,(X),(X),(X),(X),75,20.5,(X),(X),(X),(X),27.8,8.8,(X),(X),(X),(X),47.2,16.7,(X),(X),(X),(X),0,(X),(X),(X),(X),(X),2,(X),(X),(X),(X),(X)
