GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
8600000US12010,12010,ZCTA5 12010,28802,439
8600000US12015,12015,ZCTA5 12015,2804,412
8600000US12017,12017,ZCTA5 12017,310,119
8600000US12018,12018,ZCTA5 12018,7608,632
8600000US12019,12019,ZCTA5 12019,14841,687
8600000US12020,12020,ZCTA5 12020,31403,751
8600000US12022,12022,ZCTA5 12022,1002,154
8600000US12023,12023,ZCTA5 12023,2071,271
8600000US12024,12024,ZCTA5 12024,102,106
8600000US12025,12025,ZCTA5 12025,5464,285
8600000US12027,12027,ZCTA5 12027,3816,279
8600000US12028,12028,ZCTA5 12028,970,264
8600000US12029,12029,ZCTA5 12029,1127,169
8600000US12031,12031,ZCTA5 12031,139,56
8600000US12032,12032,ZCTA5 12032,795,150
8600000US12033,12033,ZCTA5 12033,7824,466
8600000US12035,12035,ZCTA5 12035,727,237
8600000US12036,12036,ZCTA5 12036,220,110
8600000US12037,12037,ZCTA5 12037,4288,515
